535,508,610
510,514,634
536,510,594
538,510,634
598,514,638
599,512,636
597,510,630
589,510,624
579,508,618
516,512,552
500,502,566
503,500,572
522,510,626
530,490,594
538,482,624
539,492,616
533,542,650
543,536,652
511,518,584
528,528,628
535,528,630
517,516,612
536,504,610
521,520,656
518,522,662
519,534,644
575,516,598
519,512,564
498,510,568
522,494,614
529,492,610
527,490,600
530,482,634
538,484,630
541,542,602
508,534,604
518,522,580
527,524,580
515,522,614
519,512,624
521,512,622
504,512,612
498,510,610
517,512,594
539,502,618
520,516,656
517,502,566
507,502,564
510,512,592
533,500,602
536,480,594
543,482,592
523,494,598
555,492,590
570,500,586
512,546,610
513,548,610
511,524,600

