519,508,578
509,498,612
534,562,750
567,532,690
497,494,564
498,502,506
534,494,530
498,522,522
486,524,524
514,542,622
524,546,634
545,568,844
494,522,674
507,502,502
509,498,496
526,494,552
525,522,592
534,576,798
509,530,752
490,522,480
496,490,518
514,488,550
535,522,536
544,524,542
536,576,772
494,540,770
502,516,542
509,516,488
539,486,568
504,508,536
499,542,654
511,562,814
498,526,498
496,524,498
496,522,494
499,520,492
501,518,498
506,514,508
511,510,514
518,504,520
522,500,524
521,494,534
519,492,538
516,494,540
513,494,544
510,496,548
546,512,596
554,520,610
557,584,828
498,548,704
476,512,498
501,492,518
513,496,544
532,514,554
516,548,764
489,530,778
482,528,774
520,508,578
500,528,502
517,508,510
513,506,546
508,508,550
523,564,848
502,540,610
502,510,510
495,514,504
513,498,508
519,496,512
508,496,542
503,548,606
498,554,626
566,574,878
480,514,518
504,490,526
516,498,524
515,498,522
521,518,542
541,570,794
518,558,836
493,524,546
512,502,504
511,510,506
503,510,546
539,538,648
508,574,730
502,520,640
515,516,626
533,512,542
509,518,580
515,532,604

